transaction_id,date,amount,category,balance_after,transaction_type
46,2024-02-15,-269.05,Transport,33220.75,Expense
47,2024-02-16,-231.08,Grocery,32989.67,Expense
48,2024-02-17,-313.73,Bills,32675.94,Expense
49,2024-02-18,-441.43,Shopping,32234.51,Expense
50,2024-02-19,-312.66,Rent,31921.85,Expense
51,2024-02-20,-118.29,Transport,31803.559999999998,Expense
52,2024-02-21,-239.06,Rent,31564.499999999996,Expense
53,2024-02-22,-244.15,Rent,31320.349999999995,Expense
54,2024-02-23,-432.89,Entertainment,30887.459999999995,Expense
55,2024-02-24,4581.25,Salary,35468.70999999999,Income
56,2024-02-25,-290.09,Entertainment,35178.619999999995,Expense
57,2024-02-26,-365.69,Transport,34812.92999999999,Expense
58,2024-02-27,-499.84,Transport,34313.09,Expense
59,2024-02-28,-485.2,Bills,33827.89,Expense
60,2024-02-29,4218.44,Salary,38046.33,Income
61,2024-03-01,4847.68,Salary,42894.01,Income
62,2024-03-02,-267.76,Grocery,42626.25,Expense
63,2024-03-03,-453.56,Rent,42172.69,Expense
64,2024-03-04,-289.86,Rent,41882.83,Expense
65,2024-03-05,-408.45,Transport,41474.380000000005,Expense
66,2024-03-06,-455.28,Shopping,41019.100000000006,Expense
67,2024-03-07,-81.68,Rent,40937.420000000006,Expense
68,2024-03-08,-398.18,Rent,40539.240000000005,Expense
69,2024-03-09,4723.47,Freelance,45262.71000000001,Income
70,2024-03-10,-151.6,Grocery,45111.11000000001,Expense
71,2024-03-11,4381.29,Salary,49492.40000000001,Income
72,2024-03-12,-354.3,Rent,49138.100000000006,Expense
73,2024-03-13,-384.54,Entertainment,48753.560000000005,Expense
74,2024-03-14,-493.24,Grocery,48260.32000000001,Expense
75,2024-03-15,-323.81,Rent,47936.51000000001,Expense
76,2024-03-16,1630.26,Freelance,49566.77000000001,Income
77,2024-03-17,-480.07,Rent,49086.70000000001,Expense
78,2024-03-18,4545.8,Freelance,53632.500000000015,Income
79,2024-03-19,2802.37,Salary,56434.87000000002,Income
80,2024-03-20,-189.88,Grocery,56244.99000000002,Expense
81,2024-03-21,-429.73,Rent,55815.26000000002,Expense
82,2024-03-22,3763.98,Freelance,59579.24000000002,Income
83,2024-03-23,-154.68,Entertainment,59424.56000000002,Expense
84,2024-03-24,-445.71,Bills,58978.85000000002,Expense
85,2024-03-25,-403.47,Rent,58575.38000000002,Expense
86,2024-03-26,-24.0,Transport,58551.38000000002,Expense
87,2024-03-27,-457.71,Bills,58093.67000000002,Expense
88,2024-03-28,1862.44,Salary,59956.11000000002,Income
89,2024-03-29,1330.41,Freelance,61286.520000000026,Income
90,2024-03-30,3742.0,Salary,65028.520000000026,Income
91,2024-03-31,-133.23,Grocery,64895.29000000002,Expense
92,2024-04-01,3669.74,Freelance,68565.03000000003,Income
93,2024-04-02,2244.79,Freelance,70809.82000000002,Income
94,2024-04-03,-71.85,Entertainment,70737.97000000002,Expense
95,2024-04-04,-93.75,Entertainment,70644.22000000002,Expense
96,2024-04-05,3346.74,Freelance,73990.96000000002,Income
97,2024-04-06,-16.21,Entertainment,73974.75000000001,Expense
98,2024-04-07,-142.93,Grocery,73831.82000000002,Expense
99,2024-04-08,-94.15,Rent,73737.67000000003,Expense
100,2024-04-09,-141.42,Shopping,73596.25000000003,Expense
